check_date,symbol,bounce_probability,threshold_used,distance_to_threshold,live_signal,regime,close_price,data_source_status,signal_blocked_reason,validation_period
2026-06-29,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,298.97000122,real_market_data,,forward_only
2026-06-29,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,724.08001709,real_market_data,,forward_only
2026-06-29,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,741.00000000,real_market_data,,forward_only
2026-06-30,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,522.39001465,real_market_data,,forward_only
2026-06-30,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,300.45001221,real_market_data,,forward_only
2026-06-30,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,736.40002441,real_market_data,,forward_only
2026-06-30,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,746.77001953,real_market_data,,forward_only
2026-07-01,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,522.40002441,real_market_data,,forward_only
2026-07-01,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,299.32000732,real_market_data,,forward_only
2026-07-01,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,725.16998291,real_market_data,,forward_only
2026-07-01,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,745.76000977,real_market_data,,forward_only
2026-07-02,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,527.88000488,real_market_data,,forward_only
2026-07-02,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,297.57998657,real_market_data,,forward_only
2026-07-02,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,712.59997559,real_market_data,,forward_only
2026-07-02,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,744.78002930,real_market_data,,forward_only
2026-07-06,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,528.07000732,real_market_data,,forward_only
2026-07-06,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,300.02999878,real_market_data,,forward_only
2026-07-06,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,725.11499023,real_market_data,,forward_only
2026-07-06,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,750.73449707,real_market_data,,forward_only
